stock_code,start_date,consecutive_weeks,weeks_forward,start_price,forward_price,return_pct
3095,20221111,10,2,27.5,37.0,34.54545454545455
3095,20221111,10,4,27.5,36.35,32.18181818181819
3095,20221111,10,12,27.5,34.55,25.636363636363622
3095,20230117,1,1,35.25,35.4,0.425531914893613
3095,20230117,1,2,35.25,35.6,0.9929078014184437
3095,20230117,1,4,35.25,34.0,-3.546099290780142
3095,20230117,1,12,35.25,22.75,-35.46099290780142
3095,20230203,53,1,34.55,34.0,-1.5918958031837835
3095,20230203,53,2,34.55,33.7,-2.460202604920389
3095,20230203,53,4,34.55,32.9,-4.775687409551371
3095,20230203,53,12,34.55,22.0,-36.32416787264833
3095,20240205,1,1,29.25,29.2,-0.17094017094017336
3095,20240205,1,2,29.25,29.0,-0.8547008547008548
3095,20240205,1,4,29.25,27.6,-5.641025641025636
3095,20240205,1,12,29.25,39.85,36.239316239316246
3095,20240216,50,1,29.1,28.55,-1.8900343642611708
3095,20240216,50,2,29.1,27.6,-5.154639175257731
3095,20240216,50,4,29.1,30.3,4.1237113402061825
3095,20240216,50,12,29.1,38.65,32.81786941580755
3095,20250207,54,1,41.0,47.3,15.36585365853658
3095,20250207,54,2,41.0,48.35,17.92682926829269
3095,20250207,54,4,41.0,47.8,16.58536585365853
3095,20250207,54,12,41.0,35.05,-14.512195121951226
3105,20221111,10,1,146.5,156.0,6.484641638225256
3105,20221111,10,2,146.5,158.5,8.19112627986348
3105,20221111,10,4,146.5,149.5,2.04778156996587
3105,20221111,10,12,146.5,183.0,24.914675767918087
3105,20230117,1,1,180.0,194.0,7.777777777777778
3105,20230117,1,2,180.0,192.0,6.666666666666667
3105,20230117,1,4,180.0,170.5,-5.277777777777778
3105,20230117,1,12,180.0,184.5,2.5
3105,20230203,53,1,183.0,171.0,-6.557377049180328
3105,20230203,53,2,183.0,173.0,-5.46448087431694
3105,20230203,53,4,183.0,167.0,-8.743169398907105
3105,20230203,53,12,183.0,163.5,-10.655737704918032
3105,20240205,1,1,159.5,156.0,-2.19435736677116
3105,20240205,1,2,159.5,160.5,0.6269592476489028
3105,20240205,1,4,159.5,156.0,-2.19435736677116
3105,20240205,1,12,159.5,145.0,-9.090909090909092
3105,20240216,50,1,157.5,158.0,0.31746031746031744
3105,20240216,50,2,157.5,155.5,-1.2698412698412698
3105,20240216,50,4,157.5,145.5,-7.6190476190476195
3105,20240216,50,12,157.5,140.0,-11.11111111111111
3105,20250207,54,1,102.0,104.0,1.9607843137254901
3105,20250207,54,2,102.0,113.5,11.27450980392157
3105,20250207,54,4,102.0,105.0,2.941176470588235
3105,20250207,54,12,102.0,88.5,-13.23529411764706
3114,20221111,10,1,25.85,26.55,2.7079303675048325
3114,20221111,10,2,25.85,26.4,2.127659574468074
3114,20221111,10,4,25.85,26.4,2.127659574468074
3114,20221111,10,12,25.85,26.25,1.5473887814313292
3114,20230117,1,1,25.4,25.6,0.7874015748031609
3114,20230117,1,2,25.4,25.9,1.968503937007874
3114,20230117,1,4,25.4,26.35,3.740157480314972
3114,20230117,1,12,25.4,27.3,7.48031496062993
3114,20230203,53,1,26.25,26.1,-0.5714285714285661
3114,20230203,53,2,26.25,26.65,1.5238095238095184
3114,20230203,53,4,26.25,27.9,6.28571428571428
3114,20230203,53,12,26.25,27.2,3.619047619047616
3114,20240205,1,1,28.4,29.7,4.577464788732398
3114,20240205,1,2,28.4,29.45,3.697183098591552
3114,20240205,1,4,28.4,29.45,3.697183098591552
3114,20240205,1,12,28.4,27.9,-1.7605633802816902
3114,20240216,50,1,29.85,29.45,-1.3400335008375281
3114,20240216,50,2,29.85,29.35,-1.675041876046901
3114,20240216,50,4,29.85,27.2,-8.877721943048583
3114,20240216,50,12,29.85,28.75,-3.685092127303187
3114,20250207,54,1,25.3,25.3,0.0
3114,20250207,54,2,25.3,25.7,1.5810276679841841
3114,20250207,54,4,25.3,25.0,-1.185770750988145
3114,20250207,54,12,25.3,22.9,-9.486166007905146
3115,20221111,10,1,10.75,10.8,0.46511627906977404
3115,20221111,10,2,10.75,11.1,3.2558139534883686
3115,20221111,10,4,10.75,0.0,-100.0
3115,20221111,10,12,10.75,11.6,7.906976744186044
3115,20230117,1,1,11.3,11.35,0.4424778761061852
3115,20230117,1,2,11.3,11.35,0.4424778761061852
3115,20230117,1,4,11.3,11.4,0.8849557522123862
3115,20230117,1,12,11.3,11.25,-0.44247787610620093
3115,20230203,53,1,11.6,11.05,-4.7413793103448185
3115,20230203,53,2,11.6,11.8,1.7241379310344922
3115,20230203,53,4,11.6,11.7,0.8620689655172384
3115,20230203,53,12,11.6,10.45,-9.91379310344828
3115,20240205,1,1,10.55,10.45,-0.9478672985782125
3115,20240205,1,2,10.55,10.45,-0.9478672985782125
3115,20240205,1,4,10.55,10.5,-0.47393364928910625
3115,20240205,1,12,10.55,10.2,-3.31753554502371
3115,20240216,47,1,10.35,10.75,3.8647342995169116
3115,20240216,47,2,10.35,10.45,0.9661835748792237
3115,20240216,47,4,10.35,0.0,-100.0
3115,20240216,47,12,10.35,10.25,-0.9661835748792237
3115,20250122,1,1,11.2,10.6,-5.357142857142854
3115,20250122,1,2,11.2,10.6,-5.357142857142854
3115,20250122,1,4,11.2,11.75,4.910714285714293
3115,20250122,1,12,11.2,12.95,15.625
3115,20250207,54,1,10.6,11.3,6.60377358490567
3115,20250207,54,2,10.6,11.75,10.849056603773588
3115,20250207,54,4,10.6,12.5,17.924528301886795
3115,20250207,54,12,10.6,0.0,-100.0
3118,20221111,10,1,26.5,26.1,-1.5094339622641455
3118,20221111,10,2,26.5,26.4,-0.3773584905660431
3118,20221111,10,4,26.5,27.55,3.962264150943399
3118,20221111,10,12,26.5,28.2,6.415094339622638
3118,20230117,1,1,28.15,28.05,-0.35523978685612034
3118,20230117,1,2,28.15,28.05,-0.35523978685612034
3118,20230117,1,4,28.15,28.6,1.5985790408525855
3118,20230117,1,12,28.15,30.45,8.170515097690945
3118,20230203,53,1,28.2,28.5,1.0638297872340452
3118,20230203,53,2,28.2,28.55,1.2411347517730547
3118,20230203,53,4,28.2,29.2,3.546099290780142
3118,20230203,53,12,28.2,32.3,14.539007092198574
3118,20240205,1,1,29.9,29.95,0.16722408026756092
3118,20240205,1,2,29.9,30.0,0.33444816053512183
3118,20240205,1,4,29.9,30.15,0.8361204013377926
3118,20240205,1,12,29.9,33.2,11.036789297658878
3118,20240216,50,1,30.0,30.15,0.4999999999999952
3118,20240216,50,2,30.0,30.25,0.8333333333333334
3118,20240216,50,4,30.0,30.9,2.9999999999999956
3118,20240216,50,12,30.0,32.95,9.833333333333343
3118,20250207,54,1,32.55,32.25,-0.9216589861751066
3118,20250207,54,2,32.55,33.15,1.8433179723502349
3118,20250207,54,4,32.55,33.55,3.0721966205837177
3118,20250207,54,12,32.55,31.9,-1.996927803379412
3122,20221111,10,1,25.65,28.3,10.331384015594551
3122,20221111,10,2,25.65,27.15,5.847953216374269
3122,20221111,10,4,25.65,27.3,6.4327485380117055
3122,20221111,10,12,25.65,27.55,7.407407407407416
3122,20230117,1,1,24.4,25.3,3.688524590163943
3122,20230117,1,2,24.4,25.95,6.352459016393445
3122,20230117,1,4,24.4,27.85,14.139344262295095
3122,20230117,1,12,24.4,27.45,12.500000000000004
3122,20230203,53,1,27.55,26.5,-3.8112522686025434
3122,20230203,53,2,27.55,28.05,1.8148820326678767
3122,20230203,53,4,27.55,27.8,0.9074410163339384
3122,20230203,53,12,27.55,25.2,-8.529945553539024
3122,20240205,1,1,41.4,42.65,3.0193236714975846
3122,20240205,1,2,41.4,44.2,6.7632850241546
3122,20240205,1,4,41.4,43.2,4.347826086956532
3122,20240205,1,12,41.4,41.0,-0.9661835748792237
3122,20240216,50,1,44.0,42.65,-3.0681818181818215
