window,quintile,count,mean_return,median_return,std_dev,win_rate,source,stock_code,start_date,consecutive_weeks,weeks_forward,start_price,forward_price,return_pct,event_date,ratio_before,ratio_after,ratio_change,base_price,return_-4w,return_-3w,return_-2w,return_-1w,return_+1w,return_+2w,return_+3w,return_+4w
,,,,,,,Agent-B,3088,20230203.0,53.0,1.0,61.1,62.7,2.6186579378068764,,,,,,,,,,,,,
,,,,,,,Agent-B,3088,20230203.0,53.0,2.0,61.1,62.1,1.6366612111292964,,,,,,,,,,,,,
,,,,,,,Agent-B,3088,20230203.0,53.0,4.0,61.1,71.5,17.021276595744677,,,,,,,,,,,,,
,,,,,,,Agent-B,3088,20230203.0,53.0,12.0,61.1,75.2,23.07692307692308,,,,,,,,,,,,,
,,,,,,,Agent-B,3088,20240205.0,1.0,1.0,83.9,82.6,-1.54946364719906,,,,,,,,,,,,,
,,,,,,,Agent-B,3088,20240205.0,1.0,2.0,83.9,84.3,0.4767580452920041,,,,,,,,,,,,,
,,,,,,,Agent-B,3088,20240205.0,1.0,4.0,83.9,90.0,7.270560190703211,,,,,,,,,,,,,
,,,,,,,Agent-B,3088,20240205.0,1.0,12.0,83.9,86.0,2.5029797377830683,,,,,,,,,,,,,
,,,,,,,Agent-B,3088,20240216.0,50.0,1.0,83.5,85.7,2.634730538922159,,,,,,,,,,,,,
,,,,,,,Agent-B,3088,20240216.0,50.0,2.0,83.5,87.0,4.191616766467066,,,,,,,,,,,,,
,,,,,,,Agent-B,3088,20240216.0,50.0,4.0,83.5,88.0,5.389221556886228,,,,,,,,,,,,,
,,,,,,,Agent-B,3088,20240216.0,50.0,12.0,83.5,86.5,3.592814371257485,,,,,,,,,,,,,
,,,,,,,Agent-B,3088,20250207.0,54.0,1.0,151.0,142.5,-5.629139072847682,,,,,,,,,,,,,
,,,,,,,Agent-B,3088,20250207.0,54.0,2.0,151.0,145.5,-3.642384105960265,,,,,,,,,,,,,
,,,,,,,Agent-B,3088,20250207.0,54.0,4.0,151.0,131.5,-12.91390728476821,,,,,,,,,,,,,
,,,,,,,Agent-B,3088,20250207.0,54.0,12.0,151.0,103.5,-31.456953642384107,,,,,,,,,,,,,
,,,,,,,Agent-B,3090,20221111.0,10.0,1.0,51.2,51.7,0.9765625,,,,,,,,,,,,,
,,,,,,,Agent-B,3090,20221111.0,10.0,2.0,51.2,52.3,2.148437499999989,,,,,,,,,,,,,
,,,,,,,Agent-B,3090,20221111.0,10.0,4.0,51.2,51.5,0.5859374999999944,,,,,,,,,,,,,
,,,,,,,Agent-B,3090,20221111.0,10.0,12.0,51.2,54.6,6.640624999999997,,,,,,,,,,,,,
,,,,,,,Agent-B,3090,20230117.0,1.0,1.0,53.0,53.3,0.5660377358490513,,,,,,,,,,,,,
,,,,,,,Agent-B,3090,20230117.0,1.0,2.0,53.0,54.0,1.8867924528301887,,,,,,,,,,,,,
,,,,,,,Agent-B,3090,20230117.0,1.0,4.0,53.0,55.0,3.7735849056603774,,,,,,,,,,,,,
,,,,,,,Agent-B,3090,20230117.0,1.0,12.0,53.0,59.7,12.64150943396227,,,,,,,,,,,,,
,,,,,,,Agent-B,3090,20230203.0,53.0,1.0,54.6,54.9,0.5494505494505442,,,,,,,,,,,,,
,,,,,,,Agent-B,3090,20230203.0,53.0,2.0,54.6,56.4,3.296703296703291,,,,,,,,,,,,,
,,,,,,,Agent-B,3090,20230203.0,53.0,4.0,54.6,57.6,5.494505494505495,,,,,,,,,,,,,
,,,,,,,Agent-B,3090,20230203.0,53.0,12.0,54.6,57.2,4.7619047619047645,,,,,,,,,,,,,
,,,,,,,Agent-B,3090,20240205.0,1.0,1.0,56.6,58.9,4.063604240282681,,,,,,,,,,,,,
,,,,,,,Agent-B,3090,20240205.0,1.0,2.0,56.6,59.0,4.240282685512365,,,,,,,,,,,,,
,,,,,,,Agent-B,3090,20240205.0,1.0,4.0,56.6,61.4,8.48056537102473,,,,,,,,,,,,,
,,,,,,,Agent-B,3090,20240205.0,1.0,12.0,56.6,60.9,7.59717314487632,,,,,,,,,,,,,
,,,,,,,Agent-B,3090,20240216.0,50.0,1.0,59.1,60.9,3.0456852791878126,,,,,,,,,,,,,
,,,,,,,Agent-B,3090,20240216.0,50.0,2.0,59.1,61.9,4.737732656514377,,,,,,,,,,,,,
,,,,,,,Agent-B,3090,20240216.0,50.0,4.0,59.1,59.2,0.1692047377326589,,,,,,,,,,,,,
,,,,,,,Agent-B,3090,20240216.0,50.0,12.0,59.1,66.9,13.197969543147217,,,,,,,,,,,,,
,,,,,,,Agent-B,3090,20250207.0,54.0,1.0,72.0,71.9,-0.138888888888881,,,,,,,,,,,,,
,,,,,,,Agent-B,3090,20250207.0,54.0,2.0,72.0,71.6,-0.5555555555555635,,,,,,,,,,,,,
,,,,,,,Agent-B,3090,20250207.0,54.0,4.0,72.0,70.8,-1.6666666666666703,,,,,,,,,,,,,
,,,,,,,Agent-B,3090,20250207.0,54.0,12.0,72.0,65.8,-8.611111111111116,,,,,,,,,,,,,
,,,,,,,Agent-B,3092,20221111.0,10.0,1.0,35.8,36.35,1.5363128491620233,,,,,,,,,,,,,
,,,,,,,Agent-B,3092,20221111.0,10.0,2.0,35.8,35.5,-0.8379888268156346,,,,,,,,,,,,,
,,,,,,,Agent-B,3092,20221111.0,10.0,4.0,35.8,37.2,3.910614525139681,,,,,,,,,,,,,
,,,,,,,Agent-B,3092,20221111.0,10.0,12.0,35.8,36.5,1.9553072625698404,,,,,,,,,,,,,
,,,,,,,Agent-B,3092,20230117.0,1.0,1.0,34.1,35.25,3.372434017595304,,,,,,,,,,,,,
