股票,引擎,進場日期,進場價格,出場日期,出場價格,日曆天數,收益率%,收益金額,出場原因,投入資金,version,config,price,entry_date,stock,engine,fled_pct,r400_chg,ma20,ma20_gap,big_holder_chg,pnl,ret,price_tier,days_bucket
1583,backup_v4,20250528,59.5,20250707,55.2,40,-7.67%,"NT$-12,782",停損,"NT$166,659",v4,6週+3個持倉_全週期,59.5,20250528,1583,backup_v4,-5.084745762711865,0.0,59.595,-0.15940934642167776,0.0,-12782.0,-7.67,50-100,30-42日
3131,main,20250716,1655.0,20250724,1530.0,8,-8.00%,"NT$-13,251",停損,"NT$165,736",v4,6週+3個持倉_全週期,1655.0,20250716,3131,main,0.0,0.0,0.0,0.0,0.0,-13251.0,-8.0,500+,7-14日
5536,main,20250723,494.5,20250903,854.0,42,+72.26%,"NT$+120,228",到期,"NT$166,389",v4,6週+3個持倉_全週期,494.5,20250723,5536,main,0.0,0.0,0.0,0.0,0.0,120228.0,72.26,300-500,30-42日
6720,backup_v4,20251001,134.5,20251020,123.5,19,-8.62%,"NT$-14,364",停損,"NT$166,614",v4,6週+3個持倉_全週期,134.5,20251001,6720,backup_v4,-5.633802816901409,0.0,132.25,1.7013232514177694,0.0,-14364.0,-8.62,100-200,14-30日
7747,backup_v4,20251001,141.5,20251029,131.5,28,-7.51%,"NT$-12,514",停損,"NT$166,641",v4,6週+3個持倉_全週期,141.5,20251001,7747,backup_v4,-15.369261477045908,0.0,138.875,1.8901890189018902,0.0,-12514.0,-7.51,100-200,14-30日
6994,backup_v4,20251001,95.2,20251112,94.0,42,-1.70%,"NT$-2,838",到期,"NT$166,647",v4,6週+3個持倉_全週期,95.2,20251001,6994,backup_v4,-5.461465271170314,0.0,92.955,2.4151471141950456,0.0,-2838.0,-1.7,50-100,30-42日
6442,main,20251203,1250.0,20251218,1110.0,15,-11.64%,"NT$-19,383",停損,"NT$166,487",v4,6週+3個持倉_全週期,1250.0,20251203,6442,main,0.0,0.0,0.0,0.0,0.0,-19383.0,-11.64,500+,14-30日
3617,backup_v4,20230308,126.0,20230309,113.5,1,-10.36%,"NT$-8,630",停損,"NT$83,279",v4,6週+6個持倉_2023年,126.0,20230308,3617,backup_v4,-6.142441090812814,0.0,121.0,4.132231404958678,0.0,-8630.0,-10.36,100-200,<7日
2707,backup_v4,20230308,292.5,20230313,269.5,5,-8.31%,"NT$-6,909",停損,"NT$83,188",v4,6週+6個持倉_2023年,292.5,20230308,2707,backup_v4,-5.018917458111343,0.0,283.525,3.1655056873291683,0.0,-6909.0,-8.31,200-300,<7日
2066,backup_v4,20230308,90.0,20230316,83.5,8,-7.66%,"NT$-6,383",停損,"NT$83,279",v4,6週+6個持倉_2023年,90.0,20230308,2066,backup_v4,-7.217847769028872,0.0,86.385,4.184754297621109,0.0,-6383.0,-7.66,50-100,7-14日
6719,main,20230322,332.0,20230328,307.5,6,-7.82%,"NT$-6,502",停損,"NT$83,118",v4,6週+6個持倉_2023年,332.0,20230322,6719,main,0.0,0.0,0.0,0.0,0.0,-6502.0,-7.82,300-500,<7日
