code,entry_date,exit_date,entry_price,exit_price,pnl,pnl_pct,reason,type,hold_days
2376,20230804,20230911,306.0,279.5,-26.5,-8.660130718954251,停損,main,38
2376,20230821,20230911,310.5,279.5,-31.0,-9.98389694041868,停損,main,21
2376,20230810,20230912,296.0,270.5,-25.5,-8.614864864864868,停損,main,33
2376,20230814,20230912,296.0,270.5,-25.5,-8.614864864864868,停損,main,29
3035,20230918,20230920,344.5,315.5,-29.0,-8.417997097242381,停損,main,2
3035,20230821,20230921,335.5,298.0,-37.5,-11.177347242921009,停損,main,31
3035,20230828,20230921,335.0,298.0,-37.0,-11.044776119402988,停損,main,24
3035,20230912,20230921,325.5,298.0,-27.5,-8.448540706605224,停損,main,9
8016,20230918,20231012,293.0,272.0,-21.0,-7.167235494880542,停損,main,24
1519,20231013,20231027,279.0,251.0,-28.0,-10.035842293906805,停損,main,14
8299,20230912,20231211,441.0,519.0,78.0,17.68707482993197,到期,main,90
3035,20230925,20231225,309.5,357.0,47.5,15.347334410339265,到期,main,91
8299,20230925,20231225,456.5,510.0,53.5,11.719605695509316,到期,main,91
3035,20231002,20240102,312.5,360.0,47.5,15.199999999999992,到期,main,92
6121,20231002,20240102,336.5,413.5,77.0,22.882615156017838,到期,main,92
8299,20231030,20240129,458.0,526.0,68.0,14.847161572052393,到期,main,91
3592,20231212,20240311,384.0,463.0,79.0,20.572916666666675,到期,main,90
2404,20240312,20240315,398.0,342.5,-55.5,-13.94472361809045,停損,main,3
3592,20231226,20240325,391.5,477.5,86.0,21.966794380587483,到期,main,90
8299,20231226,20240325,516.0,680.0,164.0,31.782945736434097,到期,main,90
3592,20240103,20240402,397.0,436.5,39.5,9.94962216624684,到期,main,90
8299,20240103,20240402,498.5,709.0,210.5,42.22668004012036,到期,main,90
3592,20240318,20240402,481.5,436.5,-45.0,-9.345794392523366,停損,main,15
3592,20240403,20240416,480.0,439.5,-40.5,-8.437499999999998,停損,main,13
3406,20240403,20240419,474.0,424.0,-50.0,-10.54852320675106,停損,main,16
3406,20240408,20240419,468.5,424.0,-44.5,-9.498399146211312,停損,main,11
8016,20240326,20240422,290.0,263.0,-27.0,-9.310344827586203,停損,main,27
3406,20240417,20240422,447.5,415.0,-32.5,-7.2625698324022325,停損,main,5
3592,20240130,20240429,376.5,432.0,55.5,14.741035856573713,到期,main,90
2404,20240326,20240520,377.5,346.0,-31.5,-8.344370860927153,停損,main,55
3406,20240422,20240722,415.0,572.0,157.0,37.831325301204814,到期,main,91
6223,20240422,20240722,368.5,531.0,162.5,44.0976933514247,到期,main,91
3406,20240723,20240726,574.0,521.0,-53.0,-9.233449477351918,停損,main,3
3406,20240429,20240729,435.0,512.0,77.0,17.701149425287355,到期,main,91
6223,20240503,20240801,406.5,553.0,146.5,36.039360393603936,到期,main,90
3413,20240723,20240802,325.0,301.0,-24.0,-7.3846153846153895,停損,main,10
3406,20240506,20240805,459.0,453.0,-6.0,-1.3071895424836555,到期,main,91
3406,20240521,20240805,535.0,453.0,-82.0,-15.327102803738313,停損,main,76
3406,20240729,20240805,512.0,453.0,-59.0,-11.5234375,停損,main,7
3413,20240730,20240805,312.0,271.0,-41.0,-13.141025641025639,停損,main,6
6223,20240826,20240906,798.0,733.0,-65.0,-8.1453634085213,停損,main,11
3406,20240812,20240918,508.0,467.0,-41.0,-8.07086614173228,停損,main,37
3034,20240819,20240918,547.0,499.5,-47.5,-8.683729433272392,停損,main,30
6223,20240920,20241004,798.0,730.0,-68.0,-8.521303258145362,停損,main,14
3406,20240805,20241104,453.0,448.0,-5.0,-1.103752759381893,到期,main,91
3413,20240805,20241104,271.0,348.0,77.0,28.41328413284132,到期,main,91
5904,20241007,20241104,537.0,493.5,-43.5,-8.100558659217882,停損,main,28
3413,20240812,20241111,311.0,332.0,21.0,6.7524115755627,到期,main,91
6446,20241105,20241115,657.0,591.0,-66.0,-10.045662100456621,停損,main,10
6446,20241111,20241118,634.0,586.0,-48.0,-7.57097791798107,停損,main,7
3081,20241125,20241127,362.0,334.0,-28.0,-7.734806629834257,停損,main,2
6223,20240909,20241209,744.0,865.0,121.0,16.26344086021505,到期,main,91
3034,20240919,20241218,506.0,492.0,-14.0,-2.766798418972327,到期,main,90
2357,20241111,20250214,614.0,678.0,64.0,10.423452768729646,到期,main,95
6446,20241118,20250221,586.0,640.0,54.0,9.215017064846421,到期,main,95
2357,20241118,20250221,612.0,709.0,97.0,15.84967320261439,到期,main,95
2404,20241128,20250227,413.0,434.5,21.5,5.205811138014527,到期,main,91
3081,20250221,20250227,454.5,391.5,-63.0,-13.861386138613863,停損,main,6
3081,20250227,20250307,391.5,363.0,-28.5,-7.279693486590033,停損,main,8
3081,20241210,20250310,355.5,332.0,-23.5,-6.610407876230662,到期,main,90
3081,20241219,20250311,354.5,299.0,-55.5,-15.655853314527501,停損,main,82
6515,20250303,20250317,1345.0,1210.0,-135.0,-10.03717472118959,停損,main,14
3491,20250310,20250331,432.0,388.0,-44.0,-10.185185185185187,停損,main,21
7722,20250324,20250331,693.0,630.0,-63.0,-9.090909090909093,停損,main,7
6414,20250314,20250407,288.5,260.0,-28.5,-9.8786828422877,停損,main,24
6414,20250328,20250407,291.0,260.0,-31.0,-10.652920962199309,停損,main,10
7722,20250401,20250407,614.0,565.0,-49.0,-7.9804560260586355,停損,main,6
5439,20250320,20250408,174.0,154.0,-20.0,-11.494252873563216,停損,backup,19
3563,20250407,20250408,445.0,400.5,-44.5,-9.999999999999998,停損,main,1
3147,20250502,20250507,293.5,266.0,-27.5,-9.369676320272568,停損,backup,5
3147,20250508,20250512,273.0,252.0,-21.0,-7.692307692307687,停損,backup,4
2404,20250227,20250528,434.5,546.0,111.5,25.661680092059846,到期,main,90
8114,20250526,20250606,309.0,284.5,-24.5,-7.9288025889967635,停損,main,11
8114,20250602,20250606,308.0,284.5,-23.5,-7.629870129870131,停損,main,4
2745,20250515,20250623,124.0,114.5,-9.5,-7.6612903225806495,停損,backup,39
7722,20250408,20250707,509.0,671.0,162.0,31.82711198428292,到期,main,90
3443,20250526,20250825,1115.0,1300.0,185.0,16.59192825112108,到期,main,91
3443,20250602,20250901,1095.0,1335.0,240.0,21.91780821917808,到期,main,91
3443,20250609,20250908,1125.0,1345.0,220.0,19.55555555555555,到期,main,91
3443,20250616,20250915,1070.0,1330.0,260.0,24.29906542056075,到期,main,91
3211,20250909,20250916,402.5,374.0,-28.5,-7.080745341614902,停損,main,7
8210,20250624,20250922,476.0,595.0,119.0,25.0,到期,main,90
3443,20250708,20251007,1220.0,1385.0,165.0,13.524590163934436,到期,main,91
3211,20250902,20251007,355.5,328.5,-27.0,-7.594936708860756,停損,main,35
3211,20250916,20251007,374.0,328.5,-45.5,-12.165775401069522,停損,main,21
3211,20250923,20251007,360.5,328.5,-32.0,-8.876560332871009,停損,main,14
3211,20250826,20251014,352.0,319.5,-32.5,-9.232954545454541,停損,main,49
5439,20250917,20251014,305.5,284.0,-21.5,-7.03764320785597,停損,main,27
5439,20251013,20251014,308.0,284.0,-24.0,-7.792207792207795,停損,main,1
3211,20251008,20251031,331.0,307.0,-24.0,-7.250755287009058,停損,main,23
3211,20251013,20251031,333.0,307.0,-26.0,-7.8078078078078095,停損,main,18
3211,20251027,20251104,320.5,293.0,-27.5,-8.580343213728547,停損,main,8
3211,20251020,20251105,315.0,289.0,-26.0,-8.253968253968258,停損,main,16
6510,20251008,20251110,1695.0,1565.0,-130.0,-7.669616519174038,停損,main,33
3515,20251110,20251117,295.5,266.5,-29.0,-9.813874788494081,停損,main,7
3443,20251201,20251216,2185.0,2020.0,-165.0,-7.5514874141876405,停損,main,15
