engine,stock,buy_date,exit_date,entry_price,exit_price,days_held,gross_return_pct,net_return_pct,pnl_twd,exit_reason
main,3483,20230726,20230802,145.0,131.5,7,-9.310344827586208,-7.4425,-6192,stop_loss
main,3078,20230626,20230807,79.6,83.3,42,4.648241206030155,4.205741206030155,3503,hold_period
main,2031,20230809,20230816,51.0,47.05,7,-7.7450980392156925,-7.4425,-6200,stop_loss
main,3056,20230809,20230818,51.0,30.7,9,-39.80392156862745,-7.4425,-6200,stop_loss
backup,2645,20230830,20230915,123.0,113.0,16,-8.130081300813007,-7.4425,-6197,stop_loss
backup,6829,20230830,20230915,138.0,122.5,16,-11.231884057971014,-7.4425,-6202,stop_loss
main,3029,20230816,20230927,61.3,61.5,42,0.3262642740619949,-0.11623572593800513,-97,hold_period
main,8081,20230823,20231004,229.5,276.0,42,20.26143790849673,19.818937908496732,16489,hold_period
main,6191,20230830,20231006,54.9,57.8,37,5.282331511839706,4.839831511839706,4031,trailing
main,3032,20231004,20231016,73.3,66.8,12,-8.867667121418828,-7.4425,-6201,stop_loss
main,2436,20230906,20231018,71.5,68.3,42,-4.475524475524479,-4.918024475524479,-4095,hold_period
main,2492,20230915,20231027,106.0,103.0,42,-2.8301886792452833,-3.272688679245283,-2727,hold_period
main,6271,20231018,20231031,147.0,134.0,13,-8.843537414965986,-7.4425,-6201,stop_loss
backup,8227,20231018,20231031,214.0,190.5,13,-10.981308411214954,-7.4425,-6188,stop_loss
main,3592,20230920,20231101,358.5,368.0,42,2.6499302649930265,2.2074302649930266,1839,hold_period
main,2404,20230927,20231108,229.5,243.0,42,5.88235294117647,5.43985294117647,4526,hold_period
backup,4961,20231013,20231110,269.0,247.0,28,-8.178438661710038,-7.4425,-6195,stop_loss
main,3661,20231115,20231227,3105.0,3305.0,42,6.44122383252818,5.99872383252818,4850,hold_period
main,8163,20231115,20231227,50.6,52.2,42,3.162055335968382,2.719555335968382,2266,hold_period
main,3105,20231122,20240103,151.5,148.0,42,-2.31023102310231,-2.75273102310231,-2293,hold_period
main,6568,20231122,20240103,162.0,158.5,42,-2.1604938271604937,-2.6029938271604935,-2166,hold_period
backup,6856,20231122,20240103,70.8,66.8,42,-5.649717514124294,-6.092217514124294,-5075,hold_period
main,8054,20231122,20240103,71.9,131.0,42,82.19749652294853,81.75499652294853,68108,hold_period
main,2439,20231227,20240108,115.5,106.0,12,-8.225108225108226,-7.4425,-6198,stop_loss
