engine,stock,entry_date,entry_price,exit_date,exit_price,shares,gross_return_pct,net_return_pct,pnl_twd,exit_reason
Main,6257,20250711,77.2,20250808,79.6,538,3.1088082901554293,2.6663082901554294,1109,hold_period
Main,8421,20250711,14.75,20250808,14.0,2820,-5.084745762711865,-5.527245762711865,-2302,hold_period
Main,9958,20250711,205.0,20250808,190.64999999999998,202,-7.073170731707316,-7.4425,-3086,stop_loss
Main,2889,20250718,16.7,20250815,16.25,1660,-2.6946107784431095,-3.1371107784431094,-871,hold_period
Main,3032,20250718,93.0,20250815,104.5,298,12.365591397849462,11.923091397849461,3309,hold_period
Main,3037,20250718,133.0,20250815,135.5,208,1.8796992481203008,1.4371992481203009,398,hold_period
Main,3131,20250718,1650.0,20250815,1534.5,16,-15.757575757575756,-7.4425,-1968,stop_loss
Main,3535,20250718,65.2,20250815,60.635999999999996,425,-14.723926380368098,-7.4425,-2065,stop_loss
Main,6223,20250718,1125.0,20250815,1255.0,24,11.555555555555555,11.113055555555555,3005,hold_period
Main,8421,20250718,14.4,20250815,13.392,1926,-10.763888888888893,-7.4425,-2067,stop_loss
Main,5475,20250606,21.0,20250822,40.3,1981,91.90476190476188,91.46226190476189,38103,trailing_stop
Main,1560,20250725,350.0,20250822,328.0,101,-6.2857142857142865,-6.728214285714286,-2382,hold_period
Main,2889,20250725,16.1,20250822,15.8,2215,-1.863354037267085,-2.305854037267085,-823,hold_period
Main,3032,20250725,114.5,20250822,106.485,311,-13.886462882096076,-7.4425,-2654,stop_loss
Main,3515,20250725,274.5,20250822,275.0,129,0.18214936247723132,-0.26035063752276866,-92,hold_period
Main,3535,20250725,65.6,20250822,67.6,543,3.0487804878048785,2.6062804878048786,930,hold_period
Main,1519,20250801,657.0,20250829,647.0,42,-1.5220700152207,-1.9645700152207,-543,hold_period
Main,2889,20250801,14.5,20250829,15.5,1912,6.896551724137931,6.454051724137931,1792,hold_period
Main,3032,20250801,117.0,20250829,111.0,237,-5.128205128205128,-5.570705128205128,-1547,hold_period
Main,3535,20250801,68.5,20250829,70.6,404,3.065693430656926,2.6231934306569262,727,hold_period
Main,4916,20250801,60.5,20250829,66.5,458,9.917355371900827,9.474855371900826,2629,hold_period
Main,6274,20250523,161.0,20250905,316.0,221,96.27329192546584,95.83079192546585,34146,trailing_stop
Main,3017,20250620,734.0,20250905,944.0,28,28.610354223433244,28.167854223433245,5797,trailing_stop
Main,4991,20250620,101.5,20250905,146.0,204,43.84236453201971,43.399864532019706,8999,trailing_stop
Main,8021,20250711,53.3,20250905,82.0,780,53.846153846153854,53.40365384615385,22234,trailing_stop
Main,2316,20250801,80.7,20250905,100.5,343,24.535315985130108,24.09281598513011,6678,trailing_stop
Main,3715,20250801,85.9,20250905,92.3,322,7.450523864959245,7.008023864959245,1941,trailing_stop
Main,3217,20250808,166.5,20250905,176.0,166,5.7057057057057055,5.263205705705706,1457,hold_period
