date,value,n_positions,cash
20250610,569580.4893,4,685.4892999999429
20250611,578317.4893,4,685.4892999999429
20250612,581642.4893,4,685.4892999999429
20250613,580154.4893,4,685.4892999999429
20250616,580255.4893,4,685.4892999999429
20250617,593263.4893,4,685.4892999999429
20250618,584348.4893,4,685.4892999999429
20250619,581615.4893,4,685.4892999999429
20250620,575341.4893,4,685.4892999999429
20250623,583313.4893,4,685.4892999999429
20250624,594484.4893,4,685.4892999999429
20250625,596573.4893,4,685.4892999999429
20250626,586279.4893,4,685.4892999999429
20250627,589014.4893,4,685.4892999999429
20250630,604037.4893,4,685.4892999999429
20250701,603885.4893,4,685.4892999999429
20250702,602543.4893,4,685.4892999999429
20250703,623775.4893,4,685.4892999999429
20250704,629460.4893,4,685.4892999999429
20250707,614137.4893,4,685.4892999999429
20250708,608613.9174249999,3,125007.91742499995
20250709,619376.9174249999,3,125007.91742499995
20250710,629345.9174249999,3,125007.91742499995
20250711,617531.9174249999,3,125007.91742499995
20250714,624566.9174249999,3,125007.91742499995
20250715,631970.9174249999,3,125007.91742499995
20250716,639425.9174249999,3,125007.91742499995
20250717,636070.9174249999,3,125007.91742499995
20250718,646731.9174249999,3,125007.91742499995
20250721,645529.1130499999,4,55.11304999994172
20250722,626194.1130499999,4,55.11304999994172
20250723,625009.1130499999,4,55.11304999994172
20250724,627930.1130499999,4,55.11304999994172
20250725,621828.4247999999,3,190100.42479999992
20250728,625802.5848,4,65122.584799999924
20250729,625584.5848,4,65122.584799999924
20250730,629740.5848,4,65122.584799999924
20250731,633690.4666749999,3,178543.46667499992
20250801,631528.4666749999,3,178543.46667499992
20250804,630552.8033749999,4,53689.803374999916
20250805,641842.8033749999,4,53689.803374999916
20250806,643464.8033749999,4,53689.803374999916
20250807,665938.8033749999,4,53689.803374999916
20250808,667369.8033749999,4,53689.803374999916
20250811,665246.8033749999,4,53689.803374999916
20250812,665589.8033749999,4,53689.803374999916
20250813,667389.8033749999,4,53689.803374999916
20250814,653685.8033749999,4,53689.803374999916
20250815,650560.8033749999,4,53689.803374999916
20250818,669562.8033749999,4,53689.803374999916
20250819,653820.8033749999,4,53689.803374999916
20250820,632046.9071249999,3,263805.9071249999
20250821,637539.9071249999,3,263805.9071249999
20250822,631761.7707499999,2,379705.7707499999
20250825,636130.1537499999,3,256290.1537499999
20250826,634346.1537499999,3,256290.1537499999
20250827,640135.1537499999,3,256290.1537499999
20250828,639851.1537499999,3,256290.1537499999
20250829,638682.1537499999,3,256290.1537499999
20250901,631220.0857499999,4,131152.0857499999
20250902,627198.0857499999,4,131152.0857499999
20250903,632062.0857499999,4,131152.0857499999
20250904,635490.0857499999,4,131152.0857499999
20250905,642137.0857499999,4,131152.0857499999
20250908,646942.0491,5,6036.0490999999165
20250909,642725.0491,5,6036.0490999999165
20250910,643656.0491,5,6036.0490999999165
20250911,637383.0491,5,6036.0490999999165
